                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.87795,                 0.9623,                  1.448,                0.88809,                      1,                0.93281,                 0.7572,                0.89502,                0.69341,                 1.8688,             0.00054121,             0.00054121,             0.00054121
                     46,                0.91481,                 1.1048,                 1.5459,                0.89036,                0.99812,                0.93281,                0.75714,                0.88885,                0.70533,                 1.8476,             0.00053728,             0.00053728,             0.00053728
                     47,                0.86959,                 1.0331,                 1.4915,                0.87537,                0.94951,                0.93281,                0.75556,                0.90414,                0.69382,                 1.8662,             0.00053336,             0.00053336,             0.00053336
                     48,                0.88781,                 1.0885,                 1.5127,                0.87831,                0.96447,                0.93281,                0.73819,                0.87186,                0.70819,                 1.8038,             0.00052943,             0.00052943,             0.00052943
                     49,                0.80882,                0.92852,                 1.4063,                0.85775,                0.98815,                0.93281,                 0.6935,                 1.0094,                 0.8164,                 2.0088,              0.0005255,              0.0005255,              0.0005255
                     50,                0.79755,                0.85719,                 1.4103,                0.83369,                      1,                0.93281,                0.73775,                0.95756,                 0.8145,                 1.9706,             0.00052158,             0.00052158,             0.00052158
                     51,                0.84973,                0.91363,                 1.4802,                0.77445,                      1,                0.93281,                0.78959,                0.77379,                0.76873,                 1.6697,             0.00051765,             0.00051765,             0.00051765
                     52,                0.84127,                0.91622,                 1.4685,                0.74499,                      1,                0.93281,                0.79511,                0.78281,                0.75065,                 1.6416,             0.00051372,             0.00051372,             0.00051372
                     53,                0.82971,                0.86991,                 1.4646,                0.81729,                      1,                0.93281,                 0.8001,                0.75369,                0.69351,                 1.6007,              0.0005098,              0.0005098,              0.0005098
                     54,                0.85149,                0.95953,                 1.4968,                0.87403,                      1,                  0.995,                0.85877,                0.73943,                 0.6567,                 1.5603,             0.00050587,             0.00050587,             0.00050587
                     55,                0.77076,                0.82607,                 1.4535,                 0.8729,                      1,                0.93281,                0.79875,                0.69613,                0.66162,                 1.5409,             0.00050194,             0.00050194,             0.00050194
                     56,                0.88717,                0.99424,                 1.5355,                0.84734,                      1,                0.93281,                0.79134,                0.71692,                 0.6526,                 1.5833,             0.00049801,             0.00049801,             0.00049801
                     57,                0.80419,                 0.8818,                 1.3931,                0.84119,                      1,                0.93281,                0.76636,                 0.8459,                0.67621,                 1.7442,             0.00049409,             0.00049409,             0.00049409
                     58,                0.77858,                0.83654,                 1.4043,                0.86901,                      1,                  0.995,                0.85057,                0.78565,                0.60762,                 1.6715,             0.00049016,             0.00049016,             0.00049016
                     59,                0.82054,                0.88927,                 1.5091,                0.86593,                0.98743,                  0.995,                0.83891,                0.81074,                0.62622,                 1.7098,             0.00048623,             0.00048623,             0.00048623
                     60,                0.82374,                0.89579,                 1.4849,                0.87603,                0.98292,                  0.995,                0.80668,                 0.8587,                0.67665,                 1.7392,             0.00048231,             0.00048231,             0.00048231
                     61,                0.80637,                 0.9202,                 1.4363,                0.83656,                      1,                  0.995,                0.81344,                0.80956,                0.57698,                 1.6888,             0.00047838,             0.00047838,             0.00047838
                     62,                0.78401,                0.84241,                 1.4358,                0.76011,                      1,                  0.995,                0.79168,                0.85454,                  0.652,                 1.7535,             0.00047445,             0.00047445,             0.00047445
                     63,                0.74778,                0.77573,                  1.383,                0.84022,                  0.875,                0.93281,                0.76322,                0.83699,                0.74448,                 1.6965,             0.00047053,             0.00047053,             0.00047053
                     64,                 0.8011,                0.85866,                 1.4401,                0.71905,                      1,                0.93281,                0.78836,                0.81346,                0.71311,                  1.673,              0.0004666,              0.0004666,              0.0004666
                     65,                0.83616,                0.81709,                 1.4282,                0.82797,                      1,                0.93281,                0.80183,                0.81769,                0.67986,                 1.6715,             0.00046267,             0.00046267,             0.00046267
                     66,                0.75036,                0.77936,                 1.3912,                0.87142,                      1,                0.93281,                0.77944,                0.87802,                0.66333,                 1.7374,             0.00045874,             0.00045874,             0.00045874
                     67,                0.74483,                0.81571,                  1.343,                0.79267,                      1,                0.93281,                0.73699,                0.91281,                0.66316,                 1.8091,             0.00045482,             0.00045482,             0.00045482
                     68,                0.73787,                 0.7894,                 1.3642,                0.74991,                      1,                0.93281,                0.77663,                0.84446,                0.62779,                 1.6862,             0.00045089,             0.00045089,             0.00045089
                     69,                0.76174,                0.79396,                 1.3718,                0.81455,                      1,                0.93281,                 0.7651,                0.86443,                0.63705,                 1.8031,             0.00044696,             0.00044696,             0.00044696
                     70,                0.70378,                0.75935,                 1.3399,                0.82781,                      1,                0.93281,                0.74681,                 0.8663,                0.61132,                 1.8155,             0.00044304,             0.00044304,             0.00044304
                     71,                0.76017,                0.76165,                 1.4009,                0.81317,                      1,                0.93281,                0.78901,                0.80826,                0.63657,                 1.6821,             0.00043911,             0.00043911,             0.00043911
                     72,                0.75446,                0.84211,                 1.3448,                0.83309,                      1,                  0.995,                 0.8635,                0.80864,                0.61281,                 1.6588,             0.00043518,             0.00043518,             0.00043518
                     73,                0.69927,                 0.7075,                 1.2958,                0.87206,                      1,                0.93281,                0.76676,                0.78048,                0.60161,                 1.6099,             0.00043126,             0.00043126,             0.00043126
                     74,                0.79639,                0.90569,                 1.4517,                0.89492,                      1,                0.93281,                 0.7897,                0.77605,                0.58377,                 1.6209,             0.00042733,             0.00042733,             0.00042733
                     75,                0.75103,                0.80062,                 1.4326,                0.88796,                      1,                0.93281,                0.75899,                0.82438,                0.59249,                 1.6627,              0.0004234,              0.0004234,              0.0004234
                     76,                0.69973,                0.74044,                 1.3108,                0.87919,                      1,                0.93281,                0.74989,                0.86463,                0.62076,                  1.721,             0.00041947,             0.00041947,             0.00041947
                     77,                0.69636,                0.74801,                 1.3273,                0.88804,                      1,                0.93281,                0.75894,                0.84231,                0.63704,                 1.7088,             0.00041555,             0.00041555,             0.00041555
                     78,                0.71249,                0.76585,                 1.3602,                 0.8885,                      1,                0.93281,                0.75908,                0.81778,                0.62137,                 1.6575,             0.00041162,             0.00041162,             0.00041162
                     79,                0.71053,                0.68877,                 1.3124,                0.88608,                      1,                0.93281,                0.77383,                 0.7855,                0.61347,                 1.5989,             0.00040769,             0.00040769,             0.00040769
                     80,                0.68327,                0.67885,                 1.2985,                0.86479,                      1,                  0.995,                0.84636,                0.75811,                0.57957,                 1.5899,             0.00040377,             0.00040377,             0.00040377
                     81,                  0.745,                0.74625,                 1.3706,                0.88715,                      1,                  0.995,                 0.8497,                0.76909,                 0.5784,                 1.6126,             0.00039984,             0.00039984,             0.00039984
                     82,                0.71139,                0.76485,                 1.3628,                0.87745,                0.99029,                  0.995,                0.83339,                0.81996,                0.58355,                 1.6636,             0.00039591,             0.00039591,             0.00039591
                     83,                0.76244,                0.76251,                 1.3549,                0.87514,                0.98141,                  0.995,                0.85028,                0.79434,                0.61209,                 1.6326,             0.00039199,             0.00039199,             0.00039199
                     84,                 0.6987,                0.71434,                 1.3203,                0.87623,                0.97615,                  0.995,                0.84858,                 0.7495,                0.58564,                 1.5807,             0.00038806,             0.00038806,             0.00038806
                     85,                0.64248,                0.66377,                 1.2534,                0.89576,                      1,                0.93281,                0.78058,                0.72651,                0.57172,                 1.5509,             0.00038413,             0.00038413,             0.00038413
                     86,                0.65865,                0.66127,                  1.249,                 0.8843,                      1,                0.93281,                0.77785,                0.73941,                0.57469,                 1.5537,              0.0003802,              0.0003802,              0.0003802
                     87,                0.62356,                0.62489,                 1.2624,                0.87966,                      1,                0.93281,                0.77827,                0.78144,                0.59024,                 1.6445,             0.00037628,             0.00037628,             0.00037628
                     88,                0.62532,                0.58738,                 1.2469,                0.89529,                      1,                0.93281,                0.78251,                0.81223,                0.58418,                 1.7149,             0.00037235,             0.00037235,             0.00037235
                     89,                0.70265,                0.66136,                  1.312,                0.88984,                      1,                0.93281,                0.78763,                0.81633,                0.53623,                 1.7607,             0.00036842,             0.00036842,             0.00036842
                     90,                0.63435,                0.59503,                  1.299,                0.87944,                      1,                0.93281,                0.76037,                0.86901,                0.54135,                 1.8559,              0.0003645,              0.0003645,              0.0003645
